Entity,trait,structure_measured,trait_groupings,trait_group_for_portal,core_trait,keywords
https://w3id.org/APD/traits/trait_0012442,flower_gynoecium_placentation,reproductive shoot system; flower,gynoecium morphology trait,flower morphology,NA,reproduction; gynoecium; carpel; plant ovary; placentation; plant ovule
https://w3id.org/APD/traits/trait_0012443,flower_ovary_fusion,reproductive shoot system; flower,gynoecium morphology trait,flower morphology,NA,reproduction; gynoecium; carpel; plant ovary
https://w3id.org/APD/traits/trait_0012444,flower_ovary_position,reproductive shoot system; flower,gynoecium morphology trait,flower morphology,NA,reproduction; gynoecium; carpel; plant ovary; perianth
https://w3id.org/APD/traits/trait_0012445,flower_ovules_per_functional_carpel_count,reproductive shoot system; flower,gynoecium morphology trait,flower morphology,NA,reproduction; gynoecium; carpel; plant ovary; plant ovule
https://w3id.org/APD/traits/trait_0012461,flower_perianth_differentiation,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,reproduction; perianth; sepal; petal; corolla; calyx
https://w3id.org/APD/traits/trait_0012462,flower_perianth_fusion,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,reproduction; perianth; sepal; petal; corolla; calyx
https://w3id.org/APD/traits/trait_0012463,flower_perianth_merism,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,"reproduction; perianth; sepal; petal; corolla; calyx; merism; whorl, floral whorl"
https://w3id.org/APD/traits/trait_0012464,flower_perianth_parts_count,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,reproduction; perianth; sepal; petal; corolla; calyx
https://w3id.org/APD/traits/trait_0012465,flower_perianth_phyllotaxis,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,"reproduction; perianth; sepal; petal; corolla; calyx; whorl, floral whorl; phyllotaxy"
https://w3id.org/APD/traits/trait_0012466,flower_perianth_symmetry,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,"reproduction; perianth; sepal; petal; corolla; calyx; whorl, floral whorl"
https://w3id.org/APD/traits/trait_0012467,flower_perianth_whorls_count,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,"reproduction; perianth; sepal; petal; corolla; calyx; whorl, floral whorl"
https://w3id.org/APD/traits/trait_0012471,flower_pollen_aperture_shape,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; anther; pollen aperture; pollen; pollen tube; anther theca
https://w3id.org/APD/traits/trait_0012472,flower_pollen_apertures_count,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; anther; pollen aperture; pollen; pollen tube; anther theca
https://w3id.org/APD/traits/trait_0012473,flower_pollen_length,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; pollen
https://w3id.org/APD/traits/trait_0012481,flower_structural_carpels_count,reproductive shoot system; flower,gynoecium morphology trait,flower morphology,NA,reproduction; gynoecium; carpel
https://w3id.org/APD/traits/trait_0012482,flower_structural_sex_type,reproductive shoot system; flower,floral organ morphology trait,flower morphology,NA,reproduction; phenotypic sex; perianth; corolla; hermaphrodite
https://w3id.org/APD/traits/trait_0012483,flower_style_differentiation,reproductive shoot system; flower,gynoecium morphology trait,flower morphology,NA,reproduction; gynoecium; style; plant ovary; carpel
https://w3id.org/APD/traits/trait_0012484,flower_style_fusion,reproductive shoot system; flower,gynoecium morphology trait,flower morphology,NA,reproduction; gynoecium; style; carpel
https://w3id.org/APD/traits/trait_0012511,fruit_dry_mass,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,core_trait,reproduction
https://w3id.org/APD/traits/trait_0012512,fruit_length,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,core_trait,reproduction
https://w3id.org/APD/traits/trait_0012513,fruit_width,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,core_trait,reproduction
https://w3id.org/APD/traits/trait_0012514,fruit_height,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,core_trait,reproduction
https://w3id.org/APD/traits/trait_0012515,fruit_wall_thickness,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,NA,reproduction; pericarp; exocarp; mesocarp; endocarp
https://w3id.org/APD/traits/trait_0012516,fruit_type,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,core_trait,reproduction
https://w3id.org/APD/traits/trait_0012517,fruit_fleshiness,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,core_trait,reproduction; fleshy
https://w3id.org/APD/traits/trait_0012518,fruit_dehiscence,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,core_trait,reproduction; dehiscence
https://w3id.org/APD/traits/trait_0012519,fruit_colour,reproductive shoot system; fruit,fruit morphology trait,fruit morphology,core_trait,reproduction; exocarp; pericarp
https://w3id.org/APD/traits/trait_0012610,seed_dry_mass,reproductive shoot system; seed,seed morphology trait,seed morphology,core_trait,reproduction
