taxon_name,url,original_name,aligned_name,accepted_name,taxon_rank,taxonomic_status,aligned_reason
Omegandra kanisii,http://eflora.nt.gov.au/factsheet?id=138,Omegandra kanisii,Omegandra kanisii,Omegandra kanisii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus aervoides,http://eflora.nt.gov.au/factsheet?id=140,Ptilotus aervoides,Ptilotus aervoides,Ptilotus aervoides,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus aristatus,http://eflora.nt.gov.au/factsheet?id=141,Ptilotus aristatus,Ptilotus aristatus,Ptilotus aristatus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus arthrolasius,http://eflora.nt.gov.au/factsheet?id=146,Ptilotus arthrolasius,Ptilotus arthrolasius,Ptilotus arthrolasius,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus calostachyus,http://eflora.nt.gov.au/factsheet?id=147,Ptilotus calostachyus,Ptilotus calostachyus,Ptilotus calostachyus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus capitatus,http://eflora.nt.gov.au/factsheet?id=150,Ptilotus capitatus,Ptilotus capitatus,Ptilotus capitatus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus clementii,http://eflora.nt.gov.au/factsheet?id=151,Ptilotus clementii,Ptilotus clementii,Ptilotus clementii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus comatus,http://eflora.nt.gov.au/factsheet?id=152,Ptilotus comatus,Ptilotus comatus,Ptilotus comatus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus corymbosus,http://eflora.nt.gov.au/factsheet?id=153,Ptilotus corymbosus,Ptilotus corymbosus,Ptilotus corymbosus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus decipiens,http://eflora.nt.gov.au/factsheet?id=156,Ptilotus decipiens,Ptilotus decipiens,Ptilotus decipiens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus dissitiflorus,http://eflora.nt.gov.au/factsheet?id=157,Ptilotus dissitiflorus,Ptilotus dissitiflorus,Ptilotus dissitiflorus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus distans,http://eflora.nt.gov.au/factsheet?id=158,Ptilotus distans,Ptilotus distans,Ptilotus distans,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus exaltatus,http://eflora.nt.gov.au/factsheet?id=159,Ptilotus exaltatus,Ptilotus exaltatus,Ptilotus exaltatus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus fusiformis,http://eflora.nt.gov.au/factsheet?id=162,Ptilotus fusiformis,Ptilotus fusiformis,Ptilotus fusiformis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus gardneri,http://eflora.nt.gov.au/factsheet?id=165,Ptilotus gardneri,Ptilotus gardneri,Ptilotus gardneri,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus gaudichaudii,http://eflora.nt.gov.au/factsheet?id=167,Ptilotus gaudichaudii,Ptilotus gaudichaudii,Ptilotus gaudichaudii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus helipteroides,http://eflora.nt.gov.au/factsheet?id=168,Ptilotus helipteroides,Ptilotus helipteroides,Ptilotus helipteroides,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus incanus,http://eflora.nt.gov.au/factsheet?id=171,Ptilotus incanus,Ptilotus incanus,Ptilotus incanus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus latifolius,http://eflora.nt.gov.au/factsheet?id=174,Ptilotus latifolius,Ptilotus latifolius,Ptilotus latifolius,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus lophotrichus,http://eflora.nt.gov.au/factsheet?id=176,Ptilotus lophotrichus,Ptilotus lophotrichus,Ptilotus lophotrichus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus xerophilus,http://eflora.nt.gov.au/factsheet?id=179,Ptilotus xerophilus,Ptilotus xerophilus,Ptilotus xerophilus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus nobilis,http://eflora.nt.gov.au/factsheet?id=180,Ptilotus nobilis,Ptilotus nobilis,Ptilotus nobilis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus obovatus,http://eflora.nt.gov.au/factsheet?id=182,Ptilotus obovatus,Ptilotus obovatus,Ptilotus obovatus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus parvifolius,http://eflora.nt.gov.au/factsheet?id=187,Ptilotus parvifolius,Ptilotus parvifolius,Ptilotus parvifolius,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus polystachyus,http://eflora.nt.gov.au/factsheet?id=188,Ptilotus polystachyus,Ptilotus polystachyus,Ptilotus polystachyus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus rotundatus,http://eflora.nt.gov.au/factsheet?id=192,Ptilotus rotundatus,Ptilotus rotundatus,Ptilotus rotundatus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus royceanus,http://eflora.nt.gov.au/factsheet?id=193,Ptilotus royceanus,Ptilotus royceanus,Ptilotus royceanus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus schwartzii,http://eflora.nt.gov.au/factsheet?id=194,Ptilotus schwartzii,Ptilotus schwartzii,Ptilotus schwartzii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ptilotus sessilifolius,http://eflora.nt.gov.au/factsheet?id=195,Ptilotus sessilifolius,Ptilotus sessilifolius,Ptilotus sessilifolius,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
