source_primary_key,source_primary_citation
Craven_2010,"L. A. Craven, B. J. Lepschi, and K. J. Cowley. “Melaleuca (Myrtaceae) of Western Australia: Five new species, three new combinations, one new name and a new state record.”.   _Nuytsia_ 20 (2010), pp. 27-36."
Creek_2018,"D. Creek, C. J. Blackman, T. J. Brodribb, B. Choat, and D. T. Tissue. “Coordination between leaf, stem, and root hydraulics and gas exchange in three arid-zone angiosperms during severe drought and recovery”.   _Plant, Cell & Environment_ 41 (2018), pp. 2869-2881.  doi:  [10.1111/pce.13418](https://doi.org/10.1111%2Fpce.13418)."
Crisp_2003,"M. D. Crisp and L. G. Cook. “Phylogeny and Evolution of Anomalous Roots in Daviesia (Fabaceae: Mirbelieae)”.   _International Journal of Plant Sciences_ 164.4 (2003), pp. 603-612. ISSN: 1537-5315.  doi:  [10.1086/375318](https://doi.org/10.1086%2F375318)."
Crisp_2017,"M. D. Crisp, L. Cayzer, G. T. Chandler, and L. G. Cook. “A monograph of Daviesia (Mirbelieae, Faboideae, Fabaceae)”.   _Phytotaxa_ 300 (2017), pp. 1-308.  doi:  [10.11646/phytotaxa.300.1.1](https://doi.org/10.11646%2Fphytotaxa.300.1.1)."
Cross_2009,"E. Cross. “The characteristics of natives and invaders: A trait-based investigation into the theory of limiting similarity.”. Honours. La Trobe University, 2009."
Crous_2013,"K. Y. Crous, A. G. Quentin, Y. Lin, B. E. Medlyn, D. G. Williams, C. V. M. Barton, and D. S. Ellsworth. “Photosynthesis of temperate Eucalyptus globulus trees outside their native range has limited adjustment to elevated CO2 and climate warming”.   _Global Change Biology_ 19.12 (2013), pp. 3790-3807.  doi:  [10.1111/gcb.12314](https://doi.org/10.1111%2Fgcb.12314)."
Crous_2019,"K. Y. Crous, A. Wujeska-Klause, M. Jiang, B. E. Medlyn, and D. S. Ellsworth. “Nitrogen and phosphorus retranslocation of leaves and stemwood in a mature Eucalyptus forest exposed to 5 years of elevated CO2”.   _Frontiers in Plant Science_ 10 (2019), p. art664.  doi:  [10.3389/fpls.2019.00664](https://doi.org/10.3389%2Ffpls.2019.00664)."
Crowley_2007,"G. Crowley, M. Gardener, and M. Marrinan. _Tropical savannas fire response database_. 2007.  url:  [www.landmanager.org.au](www.landmanager.org.au)."
Cunningham_1999,"S. A. Cunningham, B. Summerhayes, and M. Westoby. “Evolutionary divergences in leaf structure and chemistry, comparing rainfall and soil nutrient gradients”.   _Ecological Monographs_ 69 (1999), pp. 569-588.  doi:  [10.1890/0012-9615(1999)069[0569:EDILSA]2.0.CO;2](https://doi.org/10.1890%2F0012-9615%281999%29069%5B0569%3AEDILSA%5D2.0.CO%3B2)."
Curran_2009,"T. J. Curran, P. J. Clarke, and N. W. M. Warwick. “Water relations of woody plants on contrasting soils during drought: does edaphic compensation account for dry rainforest distribution?”.   _Australian Journal of Botany_ 57.8 (2009), pp. 629-639.  doi:  [10.1071/bt09128](https://doi.org/10.1071%2Fbt09128)."
Curtis_2012,"E. M. Curtis, A. Leigh, and S. Rayburg. “Relationships among leaf traits of Australian arid zone plants: alternative modes of thermal protection”.   _Australian Journal of Botany_ 60.6 (2012), pp. 471-483.  doi:  [10.1071/bt11284](https://doi.org/10.1071%2Fbt11284)."
Denton_2007,"M. D. Denton, E. J. Veneklaas, F. M. Freimoser, and H. Lambers. “Banksia species (Proteaceae) from severely phosphorus-impoverished soils exhibit extreme efficiency in the use and re-mobilization of phosphorus”.   _Plant, Cell and Environment_ 30 (2007), pp. 1557-1565.  doi:  [10.1111/j.1365-3040.2007.01733.x](https://doi.org/10.1111%2Fj.1365-3040.2007.01733.x)."
Detombeur_2021,"F. de Tombeur, E. Laliberte, H. Lambers, M. Faucon, G. Zemunik, B. L. Turner, J. Cornelis, and G. Mahy. “A shift from phenol to silica-based leaf defenses during long-term soil and ecosystem development”.   _Ecology Letters_ 24.5 (2021), pp. 984-995.  doi:  [10.1111/ele.13713](https://doi.org/10.1111%2Fele.13713)."
Detombeur_2025,"F. D. Tombeur, L. Plouzeau, J. Shaw, M. J. Hodson, K. Ranathunge, J. Kotula, P. E. Hayes, M. Tremblay, S. Coq, M. Stein, R. Nakamura, I. J. Wright, H. Lambers, C. Violle, and P. L. Clode. “Anatomical and Trait Analyses Reveal a Silicon-Carbon Trade-Off in the Epidermis of Sedges”.   _Plant, Cell & Environment_ 48.3 (2024), pp. 2396-2410. ISSN: 1365-3040.  doi:  [10.1111/pce.15307](https://doi.org/10.1111%2Fpce.15307)."
Doherty_2021,"M. Doherty. “Fire Severity and Plant Community Dynamics in the Australian Alps, Southeastern New South Wales”. PhD. Australian National University, 2021.  url:  [http://hdl.handle.net/1885/224564](http://hdl.handle.net/1885/224564)."
Dong_2017,"N. Dong, I. C. Prentice, B. J. Evans, S. Caddy-Retalic, A. J. Lowe, and I. J. Wright. “Leaf nitrogen from first principles: field evidence for adaptive variation with climate”.   _Biogeosciences_ 14.2 (2017), pp. 481-495.  doi:  [10.5194/bg-14-481-2017](https://doi.org/10.5194%2Fbg-14-481-2017)."
Drake_2011,"P. L. Drake, R. H. Froend, and P. J. Franks. “Linking hydraulic conductivity and photosynthesis to water-source partitioning in trees versus seedlings”.   _Tree Physiology_ 31.7 (2011), pp. 763-773.  doi:  [10.1093/treephys/tpr068](https://doi.org/10.1093%2Ftreephys%2Ftpr068)."
Draper_2023,"J. T. Draper, S. Delean, J. G. Conran, P. Weinstein, and B. S. Simpson. “Life-history characteristics and climate correlates of dioecious plant species in central southern Australia”.   _Australian Journal of Botany_ unknown.unknown (2023), p. unknown.  doi:  [10.1071/BT22110](https://doi.org/10.1071%2FBT22110)."
Du_2018,"P. Du, S. K. Arndt, and C. Farrell. “Relationships between plant drought response, traits, and climate of origin for green roof plant selection”.   _Ecological Applications_ 28.7 (2018), pp. 1752-1761.  doi:  [10.1002/eap.1782](https://doi.org/10.1002%2Feap.1782)."
Du_2019,"P. Du, S. K. Arndt, and C. Farrell. “Can the turgor loss point be used to assess drought response to select plants for green roofs in hot and dry climates?”.   _Plant and Soil_ 441.1-2 (2019), pp. 399-408.  doi:  [10.1007/s11104-019-04133-7](https://doi.org/10.1007%2Fs11104-019-04133-7)."
Duan_2015,"H. Duan, A. P. O'Grady, R. A. Duursma, B. Choat, G. Huang, R. A. Smith, Y. Jiang, and D. T. Tissue. “Drought responses of two gymnosperm species with contrasting stomatal regulation strategies under elevated [CO2] and temperature”.   _Tree Physiology_ 35.7 (2015), pp. 756-770.  doi:  [10.1093/treephys/tpv047](https://doi.org/10.1093%2Ftreephys%2Ftpv047)."
Duncan_1998,"D. H. Duncan. “Unpublished data: Structural basis of variation in leaf mass per area in three plant clades, Macquarie University”. 1998."
